,Selection,High Freq (Hz),File Offset (s),filename,duration,marginals
59,99,50.8,9972.502,nn01b_20180309_000000.wav,3.7684,
60,101,44.1,15009.801,nn01b_20180510_000000.wav,5.291,
61,102,41.7,40330.025,nn01b_20180510_000000.wav,5.142,
62,103,50.4,40945.64,nn01b_20180510_000000.wav,2.6210000000000004,marginal
63,104,50.3,40947.486,nn01b_20180510_000000.wav,1.884,
64,105,49.6,40986.149,nn01b_20180510_000000.wav,2.906,
65,106,52.0,41023.602,nn01b_20180510_000000.wav,2.496,
66,107,52.8,41141.963,nn01b_20180510_000000.wav,4.509,
67,108,48.8,42529.901,nn01b_20180510_000000.wav,4.024,
68,109,50.4,43066.733,nn01b_20180510_000000.wav,3.801,
69,110,37.8,43183.379,nn01b_20180510_000000.wav,2.273,
70,111,51.2,43230.112,nn01b_20180510_000000.wav,3.763,
71,112,37.0,43256.795,nn01b_20180510_000000.wav,2.869,
72,113,38.6,43354.88200000001,nn01b_20180510_000000.wav,3.354,
73,114,35.4,45781.416,nn01b_20180510_000000.wav,4.211,
74,115,35.4,59778.82,nn01b_20180510_000000.wav,3.838,marginal
75,116,50.4,59783.776,nn01b_20180510_000000.wav,6.186,
76,117,55.7,20242.546,nn01b_20180702_000000.wav,5.329,
77,118,44.1,20250.484,nn01b_20180702_000000.wav,5.515,
78,119,42.9,20277.019,nn01b_20180702_000000.wav,4.248,marginal
79,120,42.9,20308.286,nn01b_20180702_000000.wav,1.826,
80,121,45.2,20313.689,nn01b_20180702_000000.wav,7.08,
81,122,26.7,20355.578,nn01b_20180702_000000.wav,3.652,marginal
82,123,42.9,20356.807,nn01b_20180702_000000.wav,5.292000000000002,
83,124,45.2,20366.832,nn01b_20180702_000000.wav,1.416,marginal
84,125,30.2,20455.304,nn01b_20180702_000000.wav,5.2170000000000005,
85,126,39.4,30337.043,nn01b_20180702_000000.wav,6.297999999999999,marginal
86,127,58.0,31685.292,nn01b_20180702_000000.wav,6.074,
87,128,48.1,34247.975,nn01b_20180702_000000.wav,5.023,
88,129,66.1,34588.099,nn01b_20180702_000000.wav,7.528,
89,130,39.4,43729.342,nn01b_20180702_000000.wav,6.931,marginal
90,131,35.946,65664.1659,nn01b_20180702_000000.wav,5.664,marginal
91,132,46.036,65690.9609,nn01b_20180702_000000.wav,3.726,marginal
92,133,31.5,65779.364,nn01b_20180702_000000.wav,5.5779999999999985,
93,134,46.4,65801.217,nn01b_20180702_000000.wav,4.323,
94,135,45.2,65977.602,nn01b_20180702_000000.wav,2.5340000000000003,marginal
95,136,30.2,66021.87599999999,nn01b_20180702_000000.wav,5.0310000000000015,
96,137,162.703,67375.006,nn01b_20180702_000000.wav,4.211,
97,138,194.0,68007.912,nn01b_20180702_000000.wav,3.145,
98,139,41.8,68149.267,nn01b_20180702_000000.wav,6.297999999999999,
99,140,41.8,68223.019,nn01b_20180702_000000.wav,2.422,
100,141,47.6,68554.397,nn01b_20180702_000000.wav,1.863,
101,142,44.775,68560.6379,nn01b_20180702_000000.wav,2.161,marginal
102,143,44.1,68568.522,nn01b_20180702_000000.wav,4.323,
103,144,41.622,68584.8987,nn01b_20180702_000000.wav,2.945,marginal
104,145,45.2,68957.105,nn01b_20180702_000000.wav,2.497,marginal
105,146,39.4,69087.429,nn01b_20180702_000000.wav,2.124,marginal
106,147,44.1,69089.739,nn01b_20180702_000000.wav,2.124,
107,148,39.4,69157.08099999999,nn01b_20180702_000000.wav,3.465,
108,149,38.3,69311.814,nn01b_20180702_000000.wav,3.205,
109,150,37.1,69335.255,nn01b_20180702_000000.wav,2.161,
110,151,42.9,69358.658,nn01b_20180702_000000.wav,3.018,
111,152,156.6,69373.826,nn01b_20180702_000000.wav,4.546,
112,153,42.9,69412.733,nn01b_20180702_000000.wav,2.124,
113,154,244.685,69437.106,nn01b_20180702_000000.wav,5.532,
114,155,67.477,69464.683,nn01b_20180702_000000.wav,4.973,
115,156,41.8,69713.40400000001,nn01b_20180702_000000.wav,4.621,
116,157,47.6,75269.143,nn01b_20180702_000000.wav,3.913,
117,158,42.9,75334.845,nn01b_20180702_000000.wav,3.465,marginal
118,159,41.8,75482.795,nn01b_20180702_000000.wav,2.9810000000000003,marginal
119,160,42.9,75648.037,nn01b_20180702_000000.wav,3.056,
120,161,43.027,75706.3159,nn01b_20180702_000000.wav,3.622,
121,162,38.3,75778.286,nn01b_20180702_000000.wav,2.795,
122,163,40.6,75785.702,nn01b_20180702_000000.wav,1.751,marginal
123,164,46.4,75814.845,nn01b_20180702_000000.wav,5.2170000000000005,
124,165,44.1,75857.814,nn01b_20180702_000000.wav,3.726,
125,166,47.6,75863.366,nn01b_20180702_000000.wav,3.167,
126,167,39.4,75874.509,nn01b_20180702_000000.wav,3.354,marginal
127,168,63.8,75939.689,nn01b_20180702_000000.wav,2.571,
128,169,78.9,75944.609,nn01b_20180702_000000.wav,1.155,
129,170,62.6,75949.64,nn01b_20180702_000000.wav,2.906,
130,171,49.9,75960.261,nn01b_20180702_000000.wav,3.242,
131,172,52.2,75966.708,nn01b_20180702_000000.wav,5.664,
132,173,46.4,76337.665,nn01b_20180702_000000.wav,2.757,marginal
133,174,49.9,76344.037,nn01b_20180702_000000.wav,2.757,
134,175,50.7,78461.08,nn01b_20180702_000000.wav,1.266,marginal
135,176,44.97,78479.9117,nn01b_20180702_000000.wav,2.205,marginal
136,201,41.8,583.008,nn01c_20180402_000000.wav,3.389,marginal
137,202,52.2,586.229,nn01c_20180402_000000.wav,5.0,
138,203,33.9,594.049,nn01c_20180402_000000.wav,3.103,marginal
139,204,64.2,1731.178,nn01c_20180402_000000.wav,5.422999999999999,
140,205,147.8,2723.5170000000007,nn01c_20180402_000000.wav,4.072,
141,206,170.1,2735.678,nn01c_20180402_000000.wav,5.466,
142,207,159.7,2743.474,nn01c_20180402_000000.wav,5.254,
143,208,146.3,2758.873,nn01c_20180402_000000.wav,3.262,
144,209,128.4,2761.754000000001,nn01c_20180402_000000.wav,2.7110000000000003,
145,210,77.744,2765.8731,nn01c_20180402_000000.wav,2.7460000000000004,
146,211,143.3,2768.788,nn01c_20180402_000000.wav,5.211,
147,212,80.6,2770.48,nn01c_20180402_000000.wav,1.995,
148,213,71.6,2775.991,nn01c_20180402_000000.wav,2.161,
149,214,59.7,2778.619,nn01c_20180402_000000.wav,5.72,
150,215,59.4,2786.255,nn01c_20180402_000000.wav,1.219,
151,216,55.2,2787.5170000000007,nn01c_20180402_000000.wav,1.737,
152,217,88.1,2789.254000000001,nn01c_20180402_000000.wav,3.178,
153,218,129.9,2792.474,nn01c_20180402_000000.wav,2.542,
154,219,59.7,2798.576,nn01c_20180402_000000.wav,5.254,
155,220,70.1,2802.008,nn01c_20180402_000000.wav,3.517,
156,221,40.3,2810.712,nn01c_20180402_000000.wav,8.982999999999997,
157,222,43.3,2833.466,nn01c_20180402_000000.wav,5.593,
158,223,43.3,2855.542,nn01c_20180402_000000.wav,2.7960000000000003,
159,224,29.7,2872.827,nn01c_20180402_000000.wav,2.475,
160,225,56.7,2968.119,nn01c_20180402_000000.wav,4.237,
161,226,56.7,2976.483,nn01c_20180402_000000.wav,4.618,
162,227,67.2,2997.8390000000004,nn01c_20180402_000000.wav,5.339,
163,228,74.6,3005.636,nn01c_20180402_000000.wav,4.4060000000000015,
164,229,65.7,3014.576,nn01c_20180402_000000.wav,3.813,
165,230,74.6,3027.432,nn01c_20180402_000000.wav,5.084,
166,231,74.6,3036.415,nn01c_20180402_000000.wav,2.881,
167,232,77.6,3042.136,nn01c_20180402_000000.wav,4.5760000000000005,
168,233,46.3,3060.991,nn01c_20180402_000000.wav,4.83,
169,234,46.3,3084.356,nn01c_20180402_000000.wav,4.364,
170,235,43.3,3092.153,nn01c_20180402_000000.wav,4.4910000000000005,
171,236,41.8,3134.076,nn01c_20180402_000000.wav,4.279,
172,237,43.3,3159.458,nn01c_20180402_000000.wav,6.398,
173,238,43.3,3169.627,nn01c_20180402_000000.wav,5.042,
174,239,41.8,3179.373,nn01c_20180402_000000.wav,2.754,
175,240,40.3,3202.864,nn01c_20180402_000000.wav,4.872,
176,241,43.3,3211.508,nn01c_20180402_000000.wav,3.347,
177,242,40.3,3236.551,nn01c_20180402_000000.wav,4.237,
178,243,73.1,3345.0170000000007,nn01c_20180402_000000.wav,5.974,
179,244,53.7,3484.22,nn01c_20180402_000000.wav,3.856,
180,245,55.2,64475.474,nn01c_20180402_000000.wav,4.745,
181,246,55.6,28479.318,nn01c_20180417_000000.wav,3.657,
182,247,43.0,28486.005,nn01c_20180417_000000.wav,3.029,marginal
183,248,44.1,28673.483,nn01c_20180417_000000.wav,7.721,
184,249,44.1,28706.66,nn01c_20180417_000000.wav,5.542000000000002,
185,250,49.3,28741.744,nn01c_20180417_000000.wav,5.209,
186,251,47.2,28885.626,nn01c_20180417_000000.wav,3.177,marginal
187,252,40.9,28900.168,nn01c_20180417_000000.wav,3.731,marginal
188,253,42.0,28950.251,nn01c_20180417_000000.wav,4.544,
189,254,48.5,72985.197,nn01c_20180417_000000.wav,3.4730000000000003,marginal
190,255,171.0,73006.7,nn01c_20180417_000000.wav,9.753,
191,256,51.4,73179.968,nn01c_20180417_000000.wav,6.059,
192,257,46.2,73561.035,nn01c_20180417_000000.wav,3.842,
193,258,51.4,75065.017,nn01c_20180417_000000.wav,4.692,marginal
194,259,54.6,75929.128,nn01c_20180417_000000.wav,4.692,
195,270,162.7,13306.5,nn01c_20180501_000000.wav,3.006,
196,271,75.8,13309.986,nn01c_20180501_000000.wav,3.621,
197,272,48.5,13317.338,nn01c_20180501_000000.wav,1.773,marginal
198,273,58.2,13324.466,nn01c_20180501_000000.wav,3.051,
199,274,55.2,13346.686000000003,nn01c_20180501_000000.wav,4.746,
200,275,47.8,13357.364,nn01c_20180501_000000.wav,5.085,
201,276,55.2,13370.373,nn01c_20180501_000000.wav,2.797,
202,277,53.7,13376.898,nn01c_20180501_000000.wav,3.814,
203,278,38.8,13547.373,nn01c_20180501_000000.wav,7.881,
204,279,61.2,13548.39,nn01c_20180501_000000.wav,2.5,
205,280,61.2,13553.263,nn01c_20180501_000000.wav,2.881,
206,281,49.1,13566.057,nn01c_20180501_000000.wav,3.103,
207,282,56.7,13578.534,nn01c_20180501_000000.wav,3.517,
208,283,40.3,13582.432,nn01c_20180501_000000.wav,4.0680000000000005,
209,284,51.5,13604.998,nn01c_20180501_000000.wav,2.734,marginal
210,285,132.8,13819.915,nn01c_20180501_000000.wav,6.992000000000001,
211,286,150.7,13971.958,nn01c_20180501_000000.wav,5.72,
212,287,149.3,14078.729,nn01c_20180501_000000.wav,6.229,
213,288,40.3,14149.102,nn01c_20180501_000000.wav,5.127000000000002,
214,289,41.8,16352.83,nn01c_20180501_000000.wav,5.2970000000000015,
215,290,41.8,16545.695,nn01c_20180501_000000.wav,7.457999999999998,
216,291,35.2,16549.498,nn01c_20180501_000000.wav,4.249,marginal
217,292,41.8,16755.678,nn01c_20180501_000000.wav,8.432,
218,293,37.3,18033.61,nn01c_20180501_000000.wav,5.2970000000000015,
219,294,40.9,7919.515,nn01c_20180524_000000.wav,4.472,marginal
220,295,35.4,9289.118,nn01c_20180524_000000.wav,5.888,marginal
221,296,36.2,9635.143,nn01c_20180524_000000.wav,3.503,marginal
222,297,48.8,9687.876,nn01c_20180524_000000.wav,3.95,
223,298,53.5,10349.814,nn01c_20180524_000000.wav,3.839,
224,299,41.7,10355.665,nn01c_20180524_000000.wav,2.385,
225,300,54.3,16187.925,nn01c_20180524_000000.wav,3.019,
226,301,52.0,16192.658,nn01c_20180524_000000.wav,2.273,marginal
227,302,33.9,17745.596,nn01c_20180524_000000.wav,4.882,
228,303,33.1,19582.602,nn01c_20180524_000000.wav,7.752000000000002,
229,304,44.1,59913.596,nn01c_20180524_000000.wav,3.839,
230,305,38.6,59919.14900000001,nn01c_20180524_000000.wav,3.205,marginal
231,306,41.7,60808.751,nn01c_20180524_000000.wav,4.658,
232,307,35.4,60921.261,nn01c_20180524_000000.wav,5.665,
233,308,57.5,60932.553,nn01c_20180524_000000.wav,3.69,
234,309,66.1,61206.615,nn01c_20180524_000000.wav,4.584,
235,310,65.4,61288.192,nn01c_20180524_000000.wav,5.0680000000000005,
236,311,74.8,61524.242,nn01c_20180524_000000.wav,3.019,
237,312,57.5,61531.28599999999,nn01c_20180524_000000.wav,2.311,
238,313,48.8,62936.031,nn01c_20180524_000000.wav,4.249,marginal
239,314,47.2,66202.416,nn01c_20180524_000000.wav,5.0310000000000015,marginal
240,315,51.2,66560.59,nn01c_20180524_000000.wav,5.367000000000001,marginal
241,316,38.8,55683.153,nn01c_20180625_000000.wav,5.2120000000000015,
242,317,40.3,66925.44900000001,nn01c_20180625_000000.wav,3.899,marginal
243,318,56.4,67513.432,nn01c_20180625_000000.wav,3.962,
244,319,62.7,68323.305,nn01c_20180625_000000.wav,6.144,
245,320,62.7,68333.644,nn01c_20180625_000000.wav,3.687,
246,321,65.7,68340.805,nn01c_20180625_000000.wav,6.695,
247,322,49.3,68354.195,nn01c_20180625_000000.wav,5.848,
248,323,35.8,69482.618,nn01c_20180625_000000.wav,2.23,
249,324,41.8,69487.474,nn01c_20180625_000000.wav,5.17,
250,325,41.8,69497.686,nn01c_20180625_000000.wav,4.026,
251,326,35.8,69508.381,nn01c_20180625_000000.wav,4.407,
252,327,41.8,73176.314,nn01c_20180625_000000.wav,1.356,marginal
253,328,38.8,73206.44099999999,nn01c_20180625_000000.wav,1.992,
254,329,40.3,73281.805,nn01c_20180625_000000.wav,2.67,
255,330,47.8,73711.814,nn01c_20180625_000000.wav,3.221,
256,331,40.6,73735.776,nn01c_20180625_000000.wav,2.697,marginal
257,332,50.7,74121.042,nn01c_20180625_000000.wav,5.127000000000002,
258,333,59.7,74339.924,nn01c_20180625_000000.wav,5.2970000000000015,
259,336,46.5,8427.689,nn01d_20180611_000000.wav,5.0310000000000015,
260,337,44.9,8558.05,nn01d_20180611_000000.wav,6.0,
261,338,60.6,8633.255,nn01d_20180611_000000.wav,4.285,
262,339,90.6,8699.030999999999,nn01d_20180611_000000.wav,7.341,
263,340,77.2,8734.36,nn01d_20180611_000000.wav,4.8439999999999985,
264,341,41.7,28881.615,nn01d_20180611_000000.wav,3.301,
265,342,58.3,28885.155,nn01d_20180611_000000.wav,3.427,
266,343,44.8,28886.32,nn01d_20180611_000000.wav,2.7710000000000004,
267,344,34.6,28909.342,nn01d_20180611_000000.wav,2.6830000000000003,
268,345,37.0,28941.503,nn01d_20180611_000000.wav,3.242,marginal
269,346,54.3,28945.491,nn01d_20180611_000000.wav,3.391,marginal
270,347,34.6,28947.988,nn01d_20180611_000000.wav,4.099,marginal
271,348,42.5,29472.708,nn01d_20180611_000000.wav,2.385,marginal
272,349,52.0,29475.578,nn01d_20180611_000000.wav,2.6830000000000003,
273,350,60.6,29478.373,nn01d_20180611_000000.wav,3.875,
274,351,56.7,29482.472,nn01d_20180611_000000.wav,3.577,
275,352,48.8,29485.901,nn01d_20180611_000000.wav,2.6830000000000003,
276,353,36.2,29489.553,nn01d_20180611_000000.wav,3.018,marginal
277,354,37.8,29503.491,nn01d_20180611_000000.wav,3.764,
278,355,72.7,35407.076,nn01d_20180730_000000.wav,5.169,
279,356,89.021,35585.602,nn01d_20180730_000000.wav,2.318,
280,357,61.2,35590.534,nn01d_20180730_000000.wav,2.2880000000000003,
281,358,174.332,35592.864,nn01d_20180730_000000.wav,5.525,
282,359,38.8,35594.941,nn01d_20180730_000000.wav,2.33,
283,360,166.172,35601.805,nn01d_20180730_000000.wav,3.547,
284,361,76.4,35609.814,nn01d_20180730_000000.wav,3.813,
285,362,77.6,35628.839,nn01d_20180730_000000.wav,4.83,
286,363,72.7,35639.856,nn01d_20180730_000000.wav,4.459,
287,364,68.991,35668.347,nn01d_20180730_000000.wav,5.685,
288,365,40.3,35671.568,nn01d_20180730_000000.wav,1.568,
289,366,43.3,35678.686,nn01d_20180730_000000.wav,1.907,
290,367,75.668,35680.593,nn01d_20180730_000000.wav,3.266,
291,368,87.3,35707.559,nn01d_20180730_000000.wav,4.449,
292,369,43.3,35725.102,nn01d_20180730_000000.wav,1.44,
293,370,32.8,35762.364,nn01d_20180730_000000.wav,3.093,
294,371,44.8,35843.271,nn01d_20180730_000000.wav,2.5,
295,372,43.3,35909.22,nn01d_20180730_000000.wav,3.813,
296,373,46.3,35916.61,nn01d_20180730_000000.wav,2.923,
297,374,38.8,36072.593,nn01d_20180730_000000.wav,3.94,
298,375,43.3,36075.856,nn01d_20180730_000000.wav,4.025,
299,376,43.3,36155.703,nn01d_20180730_000000.wav,2.33,marginal
300,377,40.3,36213.22,nn01d_20180730_000000.wav,4.788,
301,378,76.4,36753.856,nn01d_20180730_000000.wav,4.195,
302,379,75.8,36773.983,nn01d_20180730_000000.wav,3.432,
303,380,79.4,36800.314,nn01d_20180730_000000.wav,4.788,
304,381,47.8,36814.127,nn01d_20180730_000000.wav,3.39,
305,382,50.7,36819.763,nn01d_20180730_000000.wav,1.991,
306,383,102.4,98.31,nn01e_20180620_100134.wav,4.454,
307,384,69.6,336.261,nn01e_20180620_100134.wav,2.5340000000000003,
308,385,151.5,391.9380000000001,nn01e_20180620_100134.wav,3.785,
309,386,63.8,397.64,nn01e_20180620_100134.wav,2.795,
310,387,90.3,419.925,nn01e_20180620_100134.wav,5.103,
311,388,98.8,461.478,nn01e_20180620_100134.wav,4.249,
312,389,59.2,631.081,nn01e_20180620_100134.wav,3.354,
313,390,52.1,634.3969999999998,nn01e_20180620_100134.wav,3.718,
314,391,61.5,699.615,nn01e_20180620_100134.wav,3.615,
315,392,42.9,715.602,nn01e_20180620_100134.wav,3.056,
316,393,47.6,717.168,nn01e_20180620_100134.wav,1.975,
317,394,60.3,719.18,nn01e_20180620_100134.wav,3.913,
318,395,59.2,1216.025,nn01e_20180620_100134.wav,6.372999999999998,
319,396,48.7,1223.888,nn01e_20180620_100134.wav,1.975,
320,397,61.5,1225.192,nn01e_20180620_100134.wav,2.832,
321,398,42.9,1234.956,nn01e_20180620_100134.wav,2.459,
322,399,48.7,1236.0739999999996,nn01e_20180620_100134.wav,2.087,
323,400,36.0,1238.012,nn01e_20180620_100134.wav,2.236,
324,401,44.1,1240.248,nn01e_20180620_100134.wav,2.944,
325,402,49.9,1244.534,nn01e_20180620_100134.wav,2.6460000000000004,
326,403,34.8,1244.981,nn01e_20180620_100134.wav,2.832,
327,404,39.4,1249.826,nn01e_20180620_100134.wav,1.528,
328,405,49.543,1256.72,nn01e_20180620_100134.wav,5.584,
329,406,45.2,1257.615,nn01e_20180620_100134.wav,1.379,marginal
330,407,57.165,1262.6936,nn01e_20180620_100134.wav,2.378,
331,408,61.5,1269.652,nn01e_20180620_100134.wav,3.764,
332,409,60.3,1279.826,nn01e_20180620_100134.wav,4.882,
333,410,48.7,1280.46,nn01e_20180620_100134.wav,7.64,
334,411,37.1,1295.18,nn01e_20180620_100134.wav,3.354,
335,412,33.6,1301.925,nn01e_20180620_100134.wav,4.099,
336,413,25.5,1303.025,nn01e_20180620_100134.wav,2.944,marginal
337,414,26.7,1312.36,nn01e_20180620_100134.wav,3.354,
338,415,34.8,1313.665,nn01e_20180620_100134.wav,3.317,
339,416,38.3,1321.006,nn01e_20180620_100134.wav,3.987,
340,417,59.2,1377.54,nn01e_20180620_100134.wav,2.273,marginal
341,418,34.8,1706.869,nn01e_20180620_100134.wav,5.925,
342,419,44.1,4013.702,nn01e_20180620_100134.wav,1.416,marginal
343,420,38.3,4037.217,nn01e_20180620_100134.wav,3.242,marginal
344,421,46.4,4101.019,nn01e_20180620_100134.wav,1.9,marginal
345,422,39.4,5792.8319999999985,nn01e_20180620_100134.wav,1.528,marginal
346,423,48.7,12466.584,nn01e_20180620_100134.wav,3.354,marginal
347,424,49.9,12477.354,nn01e_20180620_100134.wav,4.397,
348,425,52.2,13999.416,nn01e_20180620_100134.wav,1.565,
349,426,42.9,16800.783,nn01e_20180620_100134.wav,2.087,marginal
350,427,34.8,24360.559,nn01e_20180620_100134.wav,1.789,
351,428,34.8,84364.13699999999,nn01e_20180620_100134.wav,4.509,marginal
352,429,41.8,86115.98800000001,nn01e_20180620_100134.wav,7.081,
353,430,51.2,3655.409,nn01e_20180828_100134.wav,7.087999999999999,
354,431,49.9,7273.379,nn01e_20180828_100134.wav,1.789,
355,432,41.2,7850.906999999998,nn01e_20180828_100134.wav,6.634,
356,433,36.1,8016.894,nn01e_20180828_100134.wav,6.297999999999999,
357,434,39.0,9224.795,nn01e_20180828_100134.wav,5.646,marginal
358,435,41.2,9876.932,nn01e_20180828_100134.wav,4.025,
359,436,36.8,10033.863,nn01e_20180828_100134.wav,2.9810000000000003,
360,437,70.1,20020.696,nn01e_20180828_100134.wav,12.783,
361,438,90.3,20024.273,nn01e_20180828_100134.wav,10.137,
362,439,52.7,20037.019,nn01e_20180828_100134.wav,5.553,
363,440,34.7,20041.565,nn01e_20180828_100134.wav,5.776,
364,441,47.7,20045.143,nn01e_20180828_100134.wav,5.404,
365,442,29.7,20055.317,nn01e_20180828_100134.wav,6.642,
366,443,49.7,20057.068,nn01e_20180828_100134.wav,4.151,
367,444,34.7,20073.54,nn01e_20180828_100134.wav,6.224,
368,445,47.3,20074.957,nn01e_20180828_100134.wav,2.778,
369,446,38.7,20090.366,nn01e_20180828_100134.wav,2.801,
370,447,33.3,20971.23,nn01e_20180828_100134.wav,5.289,
371,448,55.8,22847.143,nn01e_20180828_100134.wav,1.485,
372,449,44.1,23697.95,nn01e_20180828_100134.wav,6.522,
373,450,35.4,23707.304,nn01e_20180828_100134.wav,2.72,
374,451,39.7,23711.031000000006,nn01e_20180828_100134.wav,2.497,
375,452,34.7,23729.143,nn01e_20180828_100134.wav,5.3660000000000005,
376,453,39.7,23825.925,nn01e_20180828_100134.wav,6.605,
377,454,43.4,23895.429,nn01e_20180828_100134.wav,8.087,
378,455,32.1,23913.727000000006,nn01e_20180828_100134.wav,5.0310000000000015,
379,456,39.31800000000001,23916.0897,nn01e_20180828_100134.wav,2.222,marginal
380,457,39.4,23924.365,nn01e_20180828_100134.wav,2.438,marginal
381,458,32.7,23933.627,nn01e_20180828_100134.wav,6.809,
382,459,61.8,23937.112,nn01e_20180828_100134.wav,2.199,
383,460,37.6,24018.708,nn01e_20180828_100134.wav,6.783,
384,461,39.0,24083.702,nn01e_20180828_100134.wav,7.267,
385,462,148.8,24322.658,nn01e_20180828_100134.wav,5.255,
386,464,40.0,27990.731,nn01f_20180709_000000.wav,5.7639999999999985,
387,465,42.2,29397.946,nn01f_20180709_000000.wav,7.352,
388,466,41.1,29411.727000000006,nn01f_20180709_000000.wav,2.7710000000000004,
389,467,37.8,49590.768,nn01f_20180709_000000.wav,3.99,
390,468,44.4,51102.842,nn01f_20180709_000000.wav,5.69,
391,469,45.6,51110.97,nn01f_20180709_000000.wav,2.143,marginal
392,470,43.3,51125.675,nn01f_20180709_000000.wav,2.513,
393,471,45.6,51553.20400000001,nn01f_20180709_000000.wav,4.064,
394,472,50.0,51991.07900000001,nn01f_20180709_000000.wav,4.323,marginal
395,473,44.4,52020.658,nn01f_20180709_000000.wav,3.88,marginal
396,474,35.6,54441.828,nn01f_20180709_000000.wav,3.141,
397,475,46.7,55080.38400000001,nn01f_20180709_000000.wav,2.882,marginal
398,476,43.3,75751.781,nn01f_20180709_000000.wav,3.067,marginal
399,477,44.4,75757.433,nn01f_20180709_000000.wav,2.919,marginal
400,478,41.1,76384.522,nn01f_20180709_000000.wav,2.9930000000000003,
401,479,38.9,76530.894,nn01f_20180709_000000.wav,3.769,marginal
